Obesity_up,Obesity_down,Schizophrenia_up,Schizophrenia_down,PTSD_up,PTSD_down,MD_up,MD_down,Bipolar_up,BD_down
ACKR4,SKIL,SELE,ARHGAP20,,FAM166A,,,PRR23D2,NDUFA11
MYH11,MMP28,FOXJ1,RAB6B,,ENTPD2,,,FLJ40288,SAMD11
ACSL5,TOR1AIP2,HSPB9,TUSC3,,DOCK4,,,LOC100506274,SERF2
PPL,UCHL5,ZFHX4,CYP4X1,,GPR37L1,,,HAO1,SCAMP4
LINC01969,CFC1,DTX2,SPATA2L,,COL22A1,,,MPL,TMEM258
NOSTRIN,ZNF75A,NOTCH2,RTP1,,PRSS33,,,C12orf42,ATP6V0B
TMEM30B,SRSF11,NEK7,BDNF,,SCN1A,,,MOBP,RPS5
CDX1,EPB41L4A-AS1,FBXL13,C1QL3,,DLG1-AS1,,,SELP,CD320
UST,CELF5,EGFR,CASQ1,,HPD,,,TREML4,TBC1D17
CARD11,ZNF790-AS1,PLPP3,PEG13,,SFN,,,MZB1,CDKN2B
SHOX2,NDUFB6,PAPLN,RAB3C,,HIST1H2AC,,,RFX6,TMEM222
LMO7-AS1,TMEM218,LRP4,ATP2B2,,NRN1,,,TBC1D3,SRCIN1
LY6E,GTF2H2,GAREM2,LINC02192,,C1orf87,,,DPEP3,CCL2
PODN,TMEM259,CCDC38,IPCEF1,,KLC3,,,ABI3,NOVA2
C1QTNF7,CCR2,TDRG1,ZCCHC12,,CORIN,,,KLK15,PSENEN
FAM43A,LOC101930067,GHET1,OVOL2,,LSMEM1,,,RP1,ND4
COL16A1,ANAPC4,SPINK9,RASGRP1,,MIR378D2,,,LAMA3,PDZD11
SLC39A8,B3GALNT1,RHOXF2,FEN1,,DPEP3,,,FOLR2,ITPA
DUXAP10,ZBTB6,C1orf141,NCEH1,,GNAT2,,,KNG1,RTN4R
HOXD1,CNNM1,LRRIQ1,DKK2,,SLC28A1,,,IGF2,PTPRCAP
FAM19A3,LOC102724851,DPY19L3,PRDM6,,C3orf22,,,WT1-AS,PBX2
EGFR,SERPINA12,GPR35,NECAP1,,AGRP,,,TP53TG3,BCL9L
PLCB1,TAS2R41,ABCB7,FAM163A,,CLEC6A,,,TMEM176A,APEX2
EPSTI1,PAX6,CCL2,EPHA5,,MIR4313,,,LINC00384,DMTN
OSR1,PCBP1-AS1,LOXL3,SNAP25,,IL17REL,,,IL17REL,SMIM10L2A
MRVI1,YTHDC2,NBPF26,NSMCE3,,SEMG1,,,LOC105375166,NQO1
RAB39B,ATP6V1B1,GAB2,TMEM17,,INHBB,,,LOC102724153,ABCC6P2
C1R,IFNA1,ADM2,ST8SIA2,,HCG9,,,LINC01225,FAM156B
CXCL12,VWA9,KLRK1,4-Mar,,PLS3,,,FER1L6-AS1,DMPK
PCNX2,CD28,PHKA2,CALB1,,RGL3,,,PIK3R5,NAXE
IL1RL2,HAO2,BLM,GRM8,,PCAT6,,,LINC00540,TREX1
PCOLCE-AS1,STON1,TMPRSS3,PGBD5,,SMG1P6,,,LINC01623,CLTB
BICC1,TRUB1,MT1A,TAGLN,,OR52K1,,,PSG1,PWWP2B
ANGPTL5,PKP4,ZNF366,NETO1,,LINC00862,,,OR52B4,ANP32B
GDF7,LOC101928510,PHC3,HTR7P1,,LOC100294362,,,AADACL3,ECI1
AOX1,SCIMP,CYP3A43,HSPA8,,AMACR,,,LINC00861,LMO2
KCND1,XPNPEP3,TLCD1,INPP5F,,SMPDL3B,,,MYO1A,TUBB3
ERG,TGFB2,TNFSF13,COL8A1,,SOX6,,,AP1B1P1,NPRL3
C4A,JMJD4,CFAP53,IGFBP2,,LOC100507140,,,PIK3CD-AS1,ANO4
SH3BP5,PCDH1,GRIN2C,LRFN2,,LOC100506321,,,CYP2C19,NKD2
FAM43B,GATC,MRO,NHLRC4,,PABPC1L2A,,,LOC388406,FAM184B
MRGPRF,OIT3,NEDD1,MSANTD1,,RTN2,,,LINC00494,ARL2
BHLHE41,DLX2,ZNRF3,ADAMTS8,,POU6F2,,,MCEMP1,OST4
LOC541472,LIN7A,F3,CYP24A1,,LILRB3,,,LOC101927282,MRPL52
FBLN1,ATP5G3,GRAMD3,AP2A2,,MIR199A1,,,UBASH3A,CBARP
TNFRSF11B,NUP210L,ETNPPL,CD244,,PHGR1,,,CYP2S1,HNRNPH3
RGS10,SLCO4C1,SYCP3,SPHKAP,,HIST1H4C,,,MS4A1,SQSTM1
IFIT1,CDK1,NPFFR1,CTGF,,CYP1B1,,,NOS1,HGD
HIC1,OCLN,OSMR,STS,,LYPD1,,,TMPRSS4,HSPA6
ACOT12,KIF14,LIFR,P2RX5,,NFXL1,,,GATA4,SATB2-AS1
SMCO3,ABRA,PIK3C2A,LINC01123,,KLF10,,,CREB3L3,GRM5
ST6GALNAC3,MINA,CHI3L2,PPP4R4,,MIR6781,,,C6,NR4A3
PLXNA4,LOC101593348,GPR146,PPM1E,,DLX6,,,FCGR1B,ARHGAP20
ELANE,LOC283214,ACBD7,HCN1,,MIR371B,,,KLKP1,RP1
FHOD1,DDX59,TGFBR1,CBLN4,,SND1-IT1,,,LINC01583,SLC12A1
CYP4X1,C12orf66,SH2D7,GBE1,,TEK,,,PAX4,KIZ-AS1
ELOVL2,FBXO42,SLCO4A1,MYCBP2-AS1,,ITPK1-AS1,,,LOC101927159,RUNX2
HACD4,PRKAA1,PPP1R13L,RTBDN,,LOC100288846,,,LOC101927210,ANKRD34C
CSRNP3,ANKFY1,BAALC-AS1,TM2D2,,HLA-DQA1,,,TREM2,CDH9
FGF18,CLK4,SDC4,GCNT1,,CEP295NL,,,FAM41C,SMIM17
GFPT2,NR2E1,GJA1,RXFP1,,FOXD4L4,,,LRRC2-AS1,BICDL2
MEST,SNX13,ANO9,IER5,,OXGR1,,,CCR2,RN7SL1
LBX2,GDF5,HILPDA,RELL2,,SNORD12B,,,FLJ45079,ABCA4
LOC101929130,PHTF1,NOTCH2NL,LOC100294362,,GSN-AS1,,,SLC22A2,CNTN3
ANGPT1,PCNX4,NEXN-AS1,PLN,,MIR6821,,,LOC101928517,TAC1
FOXF2,JRKL,LINC01554,EPHB6,,SAMD15,,,NKX6-3,NPY5R
ATF5,SLC28A1,FAM106A,NCR3LG1,,LPAR1,,,TRPV6,LINC00933
ERCC6,HOXA7,ZEB2-AS1,LYPD8,,RSPH14,,,RPL3L,KCNT2
EPHA5,LSM8,JMJD6,PDGFB,,MYBPC3,,,OR5B2,COL25A1
VAT1L,LINC01314,LOC440700,AAGAB,,GABRA4,,,SULT1C2,NPPA
TINAGL1,RNF157,ERBIN,MAS1,,FCGR3A,,,HSPB7,NR4A2
BEX1,HIVEP2,TRIM73,GJB5,,CSNK1G2-AS1,,,LOC105375645,GRM7
MMP23A,LOC100134040,MRVI1-AS1,SDHAF4,,LOC389273,,,NUTM1,HTR1B
SCRG1,PROCR,LINC00550,WDR7,,RNF5,,,GDNF,KRT5
LINGO1,PLBD1-AS1,LINC02003,GABRA3,,PKNOX2,,,KIF2B,CRH
CX3CL1,RHBDL2,RGCC,SUSD1,,LINC00656,,,LINC01095,HERC3
KRT19,PADI4,SCARNA17,PNOC,,FOXC1,,,ALDH3B2,FAM72D
CPXM1,FBXO32,GPC2,PARM1,,LINC00330,,,TBX4,SST
PRR15,GDE1,GLIS3,ARMCX5,,RXFP2,,,ITGAL,IL1RAPL2
PTPRH,HERC6,LFNG,HERPUD1,,SH3D21,,,AOC4P,CFAP58
GPR65,DPH3P1,LMNB1,ADTRP,,MIR4749,,,P4HA2-AS1,RAG1
UPK1B,TUG1,PON2,CYP26B1,,SLC22A14,,,LOC107983965,BARD1
SAMD11,SREK1,VSX1,ADNP2,,LOC102723854,,,LINC01375,MYO5B
ZDHHC23,ACTG1P17,HTRA4,HSPB2,,LOC105369748,,,TTTY11,PAX2
FMO3,SPTLC2,BAIAP2L1,LRRC73,,TBX20,,,S100Z,LOC151484
MMP16,HLTF,LOC100506869,TGFBR3L,,MIR3178,,,SYNJ2-IT1,CDK7
TC2N,METTL15,DNAH7,NME1-NME2,,EFCAB12,,,F2,VWA7
NTNG1,IL18RAP,LOC100128494,GALNTL6,,PACERR,,,PSG9,BCL2L2-PABPN1
CA3,DEFB119,POU3F4,TNFSF10,,ETV4,,,SFTPB,MUC5B
LMOD1,ZNF804A,PRODH,RRP9,,TSPEAR,,,LOC101927924,OR7E47P
ANXA8,SSBP1,FCRL2,FREM3,,FABP6,,,LINC00940,DPH6-AS1
DPH6-AS1,ZNF619,MTTP,DGAT2,,CCDC13-AS1,,,MIR574,DKK2
CBR3,SERP1,MT1M,CAMK2D,,ABALON,,,LOC102724804,PCDHAC1
SORCS2,RCC1L,RBM38,CERS6,,HAS1,,,BTNL8,LINC02192
TIMP4,ZNF17,TP53INP2,PTGER3,,APOBEC3B-AS1,,,GSTM5,TMEM135
CNTN5,SNORA57,KLRG1,NMNAT2,,CDK14,,,CLCN1,PCDHGC5
SYNGR3,FLT1,ADH1B,PCDH1,,LINC01269,,,PIPSL,C1orf53
SMIM14,ELK4,HSPB1,LOC101927989,,HIST1H1T,,,LOC101928167,RTN4IP1
PTHLH,SNORA71A,GMNN,GPR179,,LOC102724404,,,LINC00332,LOC100129534
RDH10,CFH,RHOJ,RNF128,,CYP4F12,,,OVAAL,C19orf67
AKAP12,P2RY4,SIGLEC14,AGBL4,,CABIN1,,,VIT,ABHD16A
ZFP36L2,ASPH,KRBA2,C1orf74,,SDC2,,,LPA,EGR2
FAM196B,S100A2,PCDHGB6,RIT2,,MMP7,,,LOC105369187,CCDC85A
MIR770,PANX1,FUT2,TM6SF1,,SHPK,,,SLC22A9,HTR2B
ARHGEF5,EIF1,PLEKHG1,HDC,,MIR941-1,,,PIK3CG,CETP
KCNS2,FER,LYN,SMYD2,,SPTB,,,LOC102724344,IDI2
COL9A3,VPS53,PARP14,SHH,,ANKRD22,,,KSR2,SPC25
SERPINA3,LOC100506083,ACTL6A,ARG2,,HEY1,,,KIAA1456,HLA-DRB3
CPE,LOC440934,RP1,NICN1,,GABRD,,,LOC101927721,SCHIP1
LOC101927120,KLHL35,AQP4,TGM3,,CARS,,,HOXD13,LINC01257
RNF112,METTL7A,C7orf61,CPNE9,,XK,,,GJB4,FREM3
FAM46B,ORC5,CECR2,CILP2,,KISS1R,,,C19orf84,SERPINB2
HIST1H2BD,ATP5C1,TMEM269,EIF4E1B,,FSCN3,,,UGT1A6,LINC00836
RTP4,C4orf32,LINC01833,GLRX2,,PKD1L3,,,LINC00837,NCF1B
SCUBE3,MORF4L2,FOXP1-AS1,TMEM196,,KCNS1,,,SPATA19,RNF103-CHMP3
NCAM2,LARP7,SRP14-AS1,PACRGL,,TLR8-AS1,,,LOC107985773,ROCK1P1
PLP1,SCAMP1,GJB6,IRF8,,FLJ41278,,,ASB2,LNCSRLR
IL18,EPB41L2,IL1RL1,BEST4,,MIR6753,,,FMO2,LINC01168
LINC00601,RBM8A,GPR75,CALHM1,,DCX,,,SLC6A2,CCL4L2
CGREF1,LOC285097,GRM7-AS1,TWIST2,,GPR162,,,BOLL,FOS
WNT11,LOC283075,ANKK1,HECW2,,LIN28B-AS1,,,GPR149,ST8SIA2
PLN,MRPL20,CLEC1A,LINC01132,,HMP19,,,LOC105372343,GPR179
MOB3B,C16orf62,HIGD1B,LOC105378499,,GK3P,,,TNFSF14,RAET1E-AS1
SNHG18,LOC283516,FP248,KIAA0895,,TRIML2,,,KCNJ6,CA1
SFRP4,LAMA4,CRB2,B4GALNT3,,LOC101928530,,,CAPN11,NKILA
NTRK2,MANEA,LRRC37A5P,LGI2,,ABI3BP,,,LOC101927310,NXPH2
RNF212,KDSR,YES1,FBXO9,,LOC102723604,,,LILRB1,PPP1R17
ACAN,BAALC,LINC00410,TRPC6,,LOC101928988,,,LINC01440,GRP
SAMD14,SEPP1,ALPP,PCP4,,OVCH1-AS1,,,HPN,LOC101928174
CAMK4,ALDH8A1,MIR144,RAB33A,,SMIM1,,,PLA2G4E,PP2D1
SPOCK1,SLC9A9,OFCC1,NPTX2,,MIR1273H,,,LTBR,LOC100133286
FMO1,ZBTB1,MAP1LC3B2,LOC101928087,,ARHGAP19-SLIT1,,,RYR1,ARPC4
C1RL,PSEN1,SRGAP1,RFPL2,,LOC102723895,,,LINC00309,CACNB4
SPOCK3,USP45,SLC28A2,KIAA1755,,TSPO2,,,LOC146513,NXF2B
HIST1H2BK,PSMA3-AS1,PUS7L,CYP26A1,,GCM1,,,GPR84,C6orf222
ADM2,LOC101927027,PODNL1,KCNQ1,,TMEM88,,,CTSE,DBIL5P
SLC22A3,AP1AR,LINC02261,BOLL,,TAP2,,,CLEC5A,OTC
PTGDR,LOC105375839,LMNTD1,GFRA3,,RHAG,,,TDH,SNORD113-3
SRGN,RNASEH2B,NPSR1-AS1,UBE2T,,OPA1-AS1,,,CR1,CCDC89
CTTNBP2,ZNF222,SUCLG2-AS1,SST,,IFIT2,,,TMPRSS2,GEM
LINC00933,HLCS,SLC9C2,FRAS1,,FAM47E-STBD1,,,ALOX12P2,TNFSF18
ALDH1A3,COX10,SEC1P,HIST2H2AA3,,DES,,,LINC00324,OPRL1
CLEC14A,KL,SDC2,TECTA,,FGF8,,,BPIFA4P,EGF
ENTPD1,SMIM11A,PZP,MANEAL,,CD274,,,C3P1,PIK3C2G
LRRK2,COMMD2,NUPR1,WDR72,,LOC101928539,,,LOC100129935,C3orf67-AS1
PSG5,PHC2,NHSL1,COL13A1,,TFF2,,,PSG3,LOC101927657
NFKBIL1,AGBL3,NR2E1,BCL2L15,,TMEM119,,,GALNT6,SERPINI2
PALM,ME2,SIX5,LOC440896,,GSDMC,,,LOC200772,ECEL1P2
IL33,NCOA2,BEND7,COL3A1,,LINC00558,,,FCRL3,GALNT5
RXFP1,BTBD11,AICDA,LOC102724691,,MIR3909,,,GOLGA6A,ACKR4
GABRE,CDADC1,RYR1,A1BG-AS1,,SERPINB10,,,LINC01514,LINC02067
ZFYVE28,ACAT1,APOBEC3A,CFAP57,,HIST1H2BB,,,LINC00628,LINC00284
BMPER,IL16,LINC01550,GPR150,,MIR641,,,TEK,LINC00161
HGF,DYNC1LI2,GPC5,FOXC1,,PSG9,,,GCM2,LOC103171574
GYPE,LOC101927610,AGMO,ALKAL2,,LINC00311,,,CLSTN2-AS1,LMAN1L
MYH10,MAPRE3,NPIPA3,MASTL,,SUMO4,,,LOC102724933,INSC
SNCAIP,BTN2A1,C1orf186,LMCD1,,GDPD2,,,LINC01495,AFP
VASN,RWDD1,DMC1,SMIM18,,OIT3,,,PQLC2L,TNXB
FLNB-AS1,RALGAPA1P1,PYGO1,MBOAT7,,APOBEC2,,,LOC101928995,HMCN1
AOC3,RNF144B,G6PC,SLC4A10,,OR52K2,,,MIR4496,PRDM6
CDC42EP5,PROSER1,ZNF628,FLNA,,PMCHL2,,,TDRD10,RERGL
SCARF1,EXOSC3,FGF11,STX16-NPEPL1,,DGCR9,,,RNF225,HLA-DPA1
JAKMIP3,F10,CCDC152,LOC442028,,CYP2A7,,,PSG7,BRD2
STMN3,CRYZ,MROH6,UMODL1-AS1,,MIR103A2,,,SUSD3,LINC00861
TGM2,TWF1,RGR,CX3CR1,,LINC01136,,,LY9,LOC101927345
PCOLCE2,ANKRD26,ALDH1L1-AS2,BMF,,ANKRD36C,,,CCDC168,ENTPD8
C1QL3,COL5A2,TNFRSF10A,NPPA,,KCNN1,,,CAPN13,TAPBP
IL20RB,FBXO3,ADORA2B,STBD1,,KL,,,PATE2,NR4A1
HRH1,XRCC4,P2RY1,AKR1C1,,LOC102724728,,,LOC400958,KCNB1
DNM1,PPP1R1B,RNF43,CEBPA,,YBX2,,,MAGEB3,DUSP5
CNTNAP1,GM2A,NUSAP1,KCNB1,,PROKR2,,,PPT2,CRHR1
AADAC,NEURL3,ANKRD62,HAS1,,SCARNA14,,,CD300E,TGM3
LINC00974,LARGE-AS1,HVCN1,OSBPL10,,A3GALT2,,,TBC1D8B,ZNF623
PCDHB3,RAB40B,LOC101927314,SELPLG,,HTRA3,,,TMEM235,RHOF
ISLR,FAR1,LINC01108,BLNK,,EGOT,,,ABCC12,12-Sep
BHMT,CEP290,FBN2,OTUB2,,SPINK8,,,FAM9A,GTF2IRD1P1
COL6A1,PGAP1,MBP,PPP1R17,,GPR146,,,PSG8,TRIM54
MEG9,PARD6B,LINC02112,GALNT14,,IGSF23,,,CASP5,SUSD1
SLC13A3,GTF3C3,CYP2J2,KCNG3,,OR2L1P,,,TRPC2,P2RX5
GREM2,DYNC1I2,BCL2L12,AOC3,,AKR1C2,,,LINC00083,CXCL2
NYAP1,IREB2,LHFPL1,HLA-DPA1,,LINC01090,,,LY6G6C,TTR
LINC01139,RARS2,GMPR,GREM2,,KIF5C,,,LINC01609,FOXC2
LTBP4,BPY2,MEIS1,RFC3,,DOCK4-AS1,,,RNF17,CDC45
P3H2-AS1,HNRNPM,CASP7,SYS1-DBNDD2,,TSGA10IP,,,MYBPC1,MGAT3-AS1
FN1,HHIPL2,FAM221B,SLC27A2,,MIR4298,,,CCL11,TECTA
TMEM253,ZADH2,PRICKLE3,C1orf145,,CLEC18A,,,PPP3R2,EGFL8
APOBEC3D,THUMPD3-AS1,DLL1,FBXW9,,CCM2L,,,ASCL4,TMEM37
BMP5,PROM1,LOC284632,LGR6,,DOK4,,,TRPV5,LOC440896
SERPINB2,ZNF770,RFX4,CYP17A1,,FOXI3,,,MYO7B,KRTAP5-AS1
TACR1,BMS1P5,RFTN2,TMEM169,,ABCC13,,,TMEM30B,ISLR
CSTA,CATSPER2,NFATC4,HS6ST2,,MIR4312,,,B3GNT6,OVOL2
BANK1,PRODH2,NHS,SLC26A4,,FOXD4L5,,,LINC01566,COL13A1
OPCML,ZNF684,HBG2,HBQ1,,FAM46B,,,CGB3,COL1A1
OR2A20P,IL7,ADAMTSL3,SLC35A2,,TAS1R1,,,GPR78,RPRML
LRIG3,PLS3,FCRL3,SLCO2A1,,LIF,,,REN,PTGS2
LINC02076,PCK1,GPAM,PLCH1,,PCDH17,,,LINC01284,MYL9
F2RL2,LRFN5,LRIG1,MIR770,,INSL3,,,LINC00261,FAM86EP
FAM9B,ARL1,CDKN2B,MATN1-AS1,,ATP6V1B1,,,CNTN5,MCAM
ARMC12,PTPN2,LINC00466,TRUB1,,MIR3613,,,LGALS9B,MYO18B
OR2A7,CDK3,EYA2,MAPT-IT1,,RAMP3,,,SULT6B1,LOC102725072
MUC1,LINC00960,EDNRB,APOC2,,LINC01572,,,SAA2,HLA-F
RCOR2,LOC101929054,ESRP2,ANKRD34C,,RAPGEF6,,,SPO11,IGSF1
GDF10,MPP3,LOC554223,LRRC55,,GGT5,,,TERT,ATP8B1
CNKSR2,KIAA1524,LINC00982,HIPK4,,ABCC6P1,,,ZNF479,PDE4C
APOD,HBS1L,NEMP2,VARS,,SLC4A1,,,APOL5,CYP26B1
HFM1,ZSCAN16-AS1,DDR1,KCNA3,,LOC100127955,,,LOC101929315,ATF3
PRPH2,SPTY2D1-AS1,PCDHGA12,ASB2,,LAMB3,,,RHO,MARVELD2
ST6GALNAC5,FAM208A,PCAT19,ADRA1D,,DIAPH3,,,DAOA-AS1,DUSP14
CYB561D2,YAP1,HHLA1,RAD51AP2,,GUSBP3,,,HAND1,LINC02361
METTL7A,LOC101927310,HMOX1,THEM5,,C8orf88,,,C20orf173,LINC02202
CDH3,UHMK1,LPAR1,SYT6,,UCN2,,,MICALCL,MYCBP2-AS1
CAPG,AQP1,LINC01602,DRD5,,MYL4,,,FLJ40194,PKD1L1
LOC400553,MYLK2,KCNMA1-AS1,CRH,,HBQ1,,,DMBT1P1,COL2A1
CDH10,GOLT1B,GADD45B,COL10A1,,ZNF705A,,,LOC100506675,GOLGA8J
GPRC5A,ATP6AP1L,LRRC9,FIBCD1,,CHRNB2,,,FCGR2A,LOC107984640
SH2D3C,POU3F1,C22orf15,HIST1H2BN,,SYT1,,,SCARA5,TDGF1
LOC101929523,TRRAP,TSPAN11,OVCH1,,AOC1,,,LINC00896,IKBKE
CEND1,SLC28A3,FGFR4,ALDH1A2,,OR2W3,,,ARHGAP26-AS1,C1orf145
RIPK3,FAM188A,ZNF850,ENO4,,LOC100507384,,,LINC00700,SLCO2A1
LYPD1,GDAP1,PRSS55,PTGIS,,PLN,,,TMEM132D,ADRA1D
CCR10,TWIST1,HAUS1,TAS2R14,,SHISA7,,,SLC22A8,ABCC12
MLKL,VCPKMT,CYP4F11,TIFA,,STK19,,,HNCAT21,AOC3
CFHR1,CD59,PDE8A,TNN,,SEMA3F,,,LOC100506272,MUSTN1
SLC9A5,MYNN,GAPT,HAPLN4,,CASC8,,,ABCA4,TBCD
KCNK2,SOD2,LGR4,MGAT2,,ANTXRL,,,LOXHD1,ACTA2
C5orf17,SLC22A16,NPL,WNT4,,LOC102723727,,,MYH6,GOLGA8G
CPXM2,PTH2R,MAB21L3,IRF6,,ACE2,,,UTS2,CDC42EP5
MFSD2B,OSBPL6,TRIM39,SULF1,,FLJ21408,,,TBC1D21,TCF24
MICAL2,MCC,GABRG1,HTR3A,,SNCA,,,LOC101928708,CDC25C
LOC100129940,WDR17,CDKN2C,STAC,,AHSP,,,CNBD1,PTPRC
FHDC1,DENND1B,IRX3,ADGRG6,,BCL2L1,,,PTPRC,S100Z
MAN1C1,USF3,SCARNA7,MFAP4,,MIR6769A,,,FCER2,CALML3
MT1G,FOXN3,OTX1,PCED1B,,FAM135B,,,LOC102724373,LOC100506444
LINC00954,ZNF589,HERC2P2,GJD2,,PABPN1L,,,LOC100506444,KRT83
DKK1,SPTLC1,ADA,LOC101929798,,TNS1,,,TPH1,GFRA3
SYNDIG1,ZNF207,OVOS2,TFEC,,ITLN2,,,TTTY5,TH2LCRR
JADE2,TRPC7,LINC00581,RHEBL1,,RXRB,,,GAGE12B,OVOS2
WNT10B,NT5DC2,PSTPIP1,CLEC9A,,SLPI,,,LOC101930028,C8orf44-SGK3
KANSL1-AS1,STXBP6,SULT1C4,SLC12A1,,GMPR,,,LOC400620,CRLF2
NEFL,KIF2C,LOC100505716,MARCO,,PI3,,,NXF3,IPO9-AS1
PLK5,TRAF3IP1,ZMYND12,DCTN1-AS1,,FOXF2,,,SERPINF2,LINC02289
CDH18,HIPK3,EVPL,KCNS2,,HBG1,,,LOC101927851,BHLHA15
MIR409,LOC101928727,PELI2,FRRS1,,KRT79,,,LRRC31,C1orf127
MICA,C2orf69,HES7,GNB1L,,SNORD3C,,,GUCY2C,HERC2
PRELP,FCRL5,FAS,BTK,,,,,LCP2,CALML6
TRPC6,NAMPT,UCA1,XPNPEP3,,,,,TNFRSF11A,LINC02268
EGFL6,ZNF354A,RNF222,C2CD4D,,,,,MIR548AE2,GJC3
HIST1H4I,LDLR,LINC00989,FGF10,,,,,PNLIPRP2,LGR6
MX2,KLHL31,LPAR3,CFAP65,,,,,FAM71D,MTRNR2L10
SCN9A,RICTOR,FCN1,GPC3,,,,,STAB2,TBC1D3B
MN1,CD47,STK17B,CAVIN3,,,,,PSG4,APOB
FKBP9P1,TESMIN,HLA-F,COL14A1,,,,,SLC26A9,NMU
LINC00924,EXOC6,FABP1,APITD1-CORT,,,,,FOLH1,TMPRSS9
HTR1F,P4HA2,PROCA1,DLL4,,,,,ROBO4,LINC01907
GSC,HFM1,ZNF490,CRHR1,,,,,LINC00523,P2RX2
CFTR,TENM1,AASS,CARS,,,,,EDN3,NEURL2
FAM212A,TCAF1,RARRES3,IMPG1,,,,,LOC100288570,NKPD1
PACERR,IKBKB,SLC52A3,OSTN,,,,,A1CF,SERPIND1
SLC19A3,SEC63,LINC01819,PP12613,,,,,TNNT2,SMYD1
FRMPD4,STAM-AS1,SGO2,HLA-DOA,,,,,RNF125,SLC5A5
P2RY1,CPA2,COL4A3,MKX,,,,,LOC339807,LOC100506675
KDR,MSANTD4,FER1L4,KIF5C,,,,,VCX,CPZ
IL26,LYZ,NPIPB8,MYOZ3,,,,,PEAR1,SDC1
GJA1,ZNF644,POLD1,CRACR2B,,,,,CRISP3,CCHCR1
PKIB,SIKE1,CFLAR-AS1,HPGDS,,,,,FMO6P,PKMYT1
PSCA,TCF3,CR1,LINC00861,,,,,UGT2A1,FAM237A
MYBPC1,LOC340184,PYGL,PRPH2,,,,,RGSL1,LOC389332
STEAP2,LINC00226,ADAMTS9,KRTAP5-7,,,,,LECT2,VWA3B
PHYHIP,GCLC,LILRB5,SNTG2,,,,,CTAGE8,AMY2A
KRT222,THBS1,LINC00668,IL18,,,,,FLJ35934,LINC00996
ZP1,DMXL1,ACOX2,TTK,,,,,MIR548K,CIDEA
PDE3A,EMP1,BLACE,PLD4,,,,,FAM180A,COL10A1
CNTNAP3,ATP5S,CYP11A1,CDC25C,,,,,LOC101927424,C4orf26
CHRNE,ALKBH8,LINC02175,NPB,,,,,LOC101927277,EPN3
ZBED9,RCBTB1,HIST1H1C,TMF1,,,,,LINC00457,ST6GALNAC1
MST1R,NXPE3,TREM1,SLC17A6,,,,,MNX1,SFTPB
LOC100130417,KIAA1468,HS3ST3B1,LOC728752,,,,,SERPINA5,CCNO
C4BPA,MKNK1-AS1,ARHGAP8,RPL17,,,,,LOC440895,HIST2H2AA3
GRK5,TNFSF11,HGF,AIF1,,,,,LOC100128317,PENK
MMP3,GLDN,BDKRB1,MYADML2,,,,,LINC01598,ARHGAP11B
ADAMTS3,LOC202181,LOC400499,NRG1,,,,,CES5A,FGF7P6
ROR2,SMIM13,LINC00838,RIIAD1,,,,,LOC401177,ATP2A3
PAPPA,GOLGA8A,ZNF799,TH,,,,,LINC01494,CPED1
ARHGEF4,TPR,LINC01634,CHRM4,,,,,CDRT1,DNAH5
NOVA1,TRPM6,BISPR,ABCC1,,,,,GCNT3,PRR11
IL1R2,VN1R3,LINC00700,PCDHA7,,,,,ANO9,COL14A1
PPP1R1B,MOB1B,TNFSF4,PRSS56,,,,,CYP2B6,PLA2R1
CASC10,ATG16L1,CCDC158,SIK1,,,,,UNC45B,PTGIS
HOXD9,RPAIN,TMEM139,LTC4S,,,,,MAS1,PLN
SPESP1,PGM3,MGC27382,PTGS1,,,,,LOC100507389,GINS3
RAC2,SLC7A1,UNC13C,OR2W3,,,,,PCAT19,IFITM10
MYH15,SLC22A7,LOC100129534,LOC100505851,,,,,SLC6A4,CRIP1
BGN,FAM83D,CATSPERB,LOC100505715,,,,,LOC105370369,CNN1
PCP4L1,ATP2A3,DDIAS,FOXC2,,,,,ZNF80,KIF5C
IRF4,ABTB1,ZNF813,TPBGL,,,,,LOC100132174,AFDN-AS1
CH17-360D5.1,PTPN1,PPP1R3G,MUSTN1,,,,,LINC00704,MGP
TREX2,SEC23A,CENPU,DNAJC9-AS1,,,,,LOC101929002,KLF2
LINC02204,XRN2,LYZ,DHDH,,,,,LINC00351,MYH11
PDE7B,LOC101929144,CCDC7,TESMIN,,,,,LINC01498,DUSP1
FAM131B,PAQR5,SLC16A9,ACY3,,,,,GIF,TAGLN
PDE1C,CCNT2-AS1,ADCY10,SLC10A4,,,,,CX3CR1,FLNA
CD163L1,THBD,MYOZ1,KCNG2,,,,,EDAR,CLSTN3
LINC00896,NRN1,CYP2A7,DHRS9,,,,,TXNDC8,C11orf88
KCTD16,LOC101927550,LOC284933,SH3D21,,,,,LOC101929084,LINC01586
TMEM240,CROT,PLIN4,CHRM2,,,,,MARVELD2,ZNF578
SLC27A3,TTC33,ACSM6,ALG1L2,,,,,CHRNB4,MATN1-AS1
MYOZ3,CHMP1B,IL17RD,CFC1,,,,,GABRA6,WNK4
LINC01151,DSC1,GPR75-ASB3,OPRL1,,,,,TMEM92-AS1,SGK2
LOC643733,CEBPD,LOC101929494,ADAMTS15,,,,,LOC102723617,LOC440028
CRYBG1,LOC285835,PSG8-AS1,TRIM54,,,,,TREML1,WNT11
